mcq_id,subject,topic_id,action,new_options,new_correct_idx,new_probability,v_reason
ECO_AGR_Q001,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",2,0.918,OK
ECO_AGR_Q003,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",2,0.918,OK
ECO_AGR_Q005,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",2,0.918,OK
ECO_AGR_Q007,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.918,OK
ECO_AGR_Q008,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",0,0.918,OK
ECO_AGR_Q010,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.918,OK
ECO_AGR_Q011,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.918,OK
ECO_AGR_Q017,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",0,0.918,OK
ECO_AGR_Q021,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.918,OK
ECO_AGR_Q023,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",2,0.918,OK
ECO_AGR_Q024,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",2,0.918,OK
ECO_AGR_Q025,Economy,ECO_AGR,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.918,OK
ECO_BNK_Q002,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q004,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q006,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q007,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q008,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q013,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q016,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",0,0.886,OK
ECO_BNK_Q018,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q020,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q023,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q024,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q026,Economy,ECO_BNK,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.886,OK
ECO_BNK_Q031,Economy,ECO_BNK,KEEP_FACTUAL,"['a specialized entity established in 2021 to acquire stressed assets from banks', 'a regulatory body that monitors the Gross NPA Ratio of scheduled commercial banks', 'a type of payment bank authorized to handle deposits but not issue loans', 'a cooperative banking institution focused on rural credit under the Banking Laws Amendment Act, 2025']",0,0.886,FACTUAL_OK
ECO_EXT_Q004,Economy,ECO_EXT,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",2,0.845,OK
ECO_EXT_Q005,Economy,ECO_EXT,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.845,OK
ECO_EXT_Q012,Economy,ECO_EXT,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.845,OK
ECO_EXT_Q015,Economy,ECO_EXT,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.845,OK
ECO_EXT_Q016,Economy,ECO_EXT,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",0,0.845,OK
ECO_EXT_Q017,Economy,ECO_EXT,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",0,0.845,OK
ECO_EXT_Q019,Economy,ECO_EXT,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",0,0.845,OK
ECO_EXT_Q023,Economy,ECO_EXT,KEEP_FACTUAL,"['the top source country for FDI inflows to India', 'the country with which India has the largest trade deficit', ""the largest contributor to India's forex reserves"", ""the top destination for India's outward FDI""]",0,0.845,FACTUAL_OK
ECO_EXT_Q024,Economy,ECO_EXT,KEEP_FACTUAL,"['A trade-weighted average of nominal exchange rates of a currency against a basket of other currencies', 'A nominal exchange rate adjusted for inflation differentials with trading partners', ""The difference between a country's exports and imports of goods and services"", ""A measure of foreign direct investment flows into a country's capital account""]",1,0.845,FACTUAL_OK
ECO_EXT_Q029,Economy,ECO_EXT,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.845,OK
ECO_EXT_Q031,Economy,ECO_EXT,KEEP_FACTUAL,"['Record unaccounted capital flows like FDI and FPI', 'Ensure that the sum of Current Account and Capital Account equals zero', 'Measure the difference between merchandise exports and imports', 'Account for changes in foreign exchange reserves of the country']",1,0.845,FACTUAL_OK
ECO_EXT_Q032,Economy,ECO_EXT,KEEP_FACTUAL,"['Managed by the Government of India under FEMA, 1999 with objectives of maximizing returns and supporting fiscal policy', 'Managed by the Reserve Bank of India under the RBI Act, 1934 with objectives of liquidity and safety', 'Managed jointly by RBI and Ministry of Finance under the Foreign Exchange Regulation Act, 1973 with objectives of stability and growth', 'Managed by the Reserve Bank of India under the Banking Regulation Act, 1949 with objectives of profitability and currency intervention']",1,0.845,FACTUAL_OK
ECO_FIN_Q004,Economy,ECO_FIN,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.945,OK
ECO_FIN_Q005,Economy,ECO_FIN,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",2,0.945,OK
ECO_FIN_Q006,Economy,ECO_FIN,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.945,OK
ECO_FIN_Q010,Economy,ECO_FIN,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.945,OK
ECO_FIN_Q012,Economy,ECO_FIN,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",0,0.945,OK
ECO_FIN_Q016,Economy,ECO_FIN,KEEP_FACTUAL,"[""A mechanism for applying in IPOs where funds remain blocked in the applicant's bank account until allotment"", 'A system for secondary market trading introduced by SEBI in 2008', 'A facility for mutual fund investments where units are automatically redeemed', 'A platform for foreign exchange trading between banks and financial institutions']",0,0.945,FACTUAL_OK
ECO_FIN_Q018,Economy,ECO_FIN,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.945,OK
ECO_FIN_Q019,Economy,ECO_FIN,KEEP_FACTUAL,"['Money market deals with short-term debt instruments (up to one year), while capital market deals with long-term instruments like equity shares and bonds.', 'Money market deals with long-term equity instruments, while capital market deals with short-term debt instruments.', 'Money market facilitates long-term financing through bonds, while capital market handles short-term borrowing between banks.', 'Money market involves trading of existing securities, while capital market involves issuance of new securities only.']",0,0.945,FACTUAL_OK
ECO_FP_Q006,Economy,ECO_FP,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.916,OK
ECO_FP_Q007,Economy,ECO_FP,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.916,OK
ECO_FP_Q013,Economy,ECO_FP,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.916,OK
ECO_FP_Q018,Economy,ECO_FP,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",0,0.916,OK
ECO_FP_Q019,Economy,ECO_FP,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.916,OK
ECO_FP_Q024,Economy,ECO_FP,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",2,0.916,OK
ECO_FP_Q025,Economy,ECO_FP,KEEP_FACTUAL,"['A classification of government spending that was abolished after 2017-18 and replaced by scheme-wise classification', 'A type of expenditure that includes only capital outlays for infrastructure projects', 'The portion of government spending that is financed through borrowings and market loans', 'A budgetary classification that distinguishes between developmental and non-developmental spending']",0,0.916,FACTUAL_OK
ECO_FP_Q026,Economy,ECO_FP,KEEP_FACTUAL,"['A cess introduced in the Union Budget 2021-22 to fund agricultural infrastructure development', 'A surcharge levied on agricultural income to support rural development schemes', 'A cess introduced in 2016 to finance the Krishi Kalyan Abhiyan', 'A component of GST compensation cess for states to improve farm infrastructure']",0,0.916,FACTUAL_OK
ECO_FP_Q027,Economy,ECO_FP,KEEP_FACTUAL,"['A tax on coal production to fund renewable energy projects', 'A surcharge on corporate income tax for environmental protection', 'A component of GST compensation cess for states', 'A cess on petroleum products to reduce carbon emissions']",0,0.916,FACTUAL_OK
ECO_IND2_Q003,Economy,ECO_IND2,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.916,OK
ECO_IND2_Q004,Economy,ECO_IND2,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.916,OK
ECO_IND2_Q005,Economy,ECO_IND2,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.916,OK
ECO_IND2_Q014,Economy,ECO_IND2,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.916,OK
ECO_IND2_Q018,Economy,ECO_IND2,KEEP_FACTUAL,"['A report published by the World Bank that primarily uses survey data to measure global inequality', 'A report published by the World Inequality Lab that combines tax data, national accounts, and survey data', 'An IMF publication focusing on income distribution using only national accounts data', 'A UN report that measures inequality through household consumption surveys']",1,0.916,FACTUAL_OK
ECO_IND_Q004,Economy,ECO_IND,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",1,0.916,OK
ECO_IND_Q009,Economy,ECO_IND,ENRICH_ONLY,"['Only one', 'Only two', 'All three', 'None']",0,0.916,OK
